ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price_in_billion
17042,Domestic assembly,New car,Truck,0,White,Grey,2,2,Petrol,1,Manual,RFD,10.1,Suzuki,Super_Carry,2022,0.249
53794,Imported,New car,SUV,0,Black,Black,5,7,Petrol,3.4,Automatic,AWD,12.8,Toyota,Land_Cruiser,2022,4.286
73954,Domestic assembly,New car,Crossover,0,Silver,Brown,5,8,Petrol,2,Automatic,RFD,11,Toyota,Innova,2023,0.885
74150,Imported,New car,SUV,0,White,Black,5,5,Petrol,1.8,Automatic,FWD,6.5,Toyota,Corolla_Cross,2023,0.754
87573,Domestic assembly,New car,Crossover,0,Silver,Grey,5,8,Petrol,2,Automatic,RFD,11,Toyota,Innova,2022,0.84
97011,Domestic assembly,New car,Van/Minivan,0,White,Grey,5,2,Petrol,1,Manual,RFD,10.1,Suzuki,Super_Carry,2023,0.299
101726,Domestic assembly,New car,SUV,0,White,Black,5,7,Petrol,1.5,Automatic,FWD,7.3,Honda,CR-V,2023,0.948
135739,Imported,New car,SUV,0,Copper,Black,5,7,Petrol,2.7,Automatic,RFD,9.5,Toyota,Fortuner,2023,1.165
142495,Domestic assembly,New car,Pickup,0,Grey,Black,4,5,Diesel,2.2,Automatic,RFD,11.7,Ford,Ranger,2023,0.707
143308,Domestic assembly,New car,Pickup,0,Black,Black,4,5,Diesel,2.2,Automatic,4WD,11.7,Ford,Ranger,2023,0.864
174951,Domestic assembly,New car,Van/Minivan,0,White,Cream,4,7,Diesel,2.2,Manual,RFD,16.9,Ford,Transit,2023,0.94
182003,Domestic assembly,New car,Crossover,0,Silver,Grey,5,8,Petrol,2,Manual,RFD,11,Toyota,Innova,2022,0.715
182298,Imported,New car,SUV,0,White,Cream,5,5,Petrol,2.7,Automatic,4WD,12.2,Toyota,Prado,2022,2.628
183963,Domestic assembly,New car,Sedan,0,White,Yellow,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2022,0.579
203337,Imported,New car,SUV,0,White,Black,5,7,Diesel,2,Automatic,RFD,10.8,Ford,Everest,2023,1.099
211394,Imported,New car,Hatchback,0,Red,Cream,5,5,Petrol,1.5,Automatic,FWD,6,Toyota,Yaris,2022,0.66
304604,Domestic assembly,New car,Sedan,0,Black,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2022,0.592
449343,Domestic assembly,New car,SUV,0,White,Black,5,7,Petrol,2,Automatic,FWD,10.1,Mitsubishi,Outlander,2022,0.825
449349,Domestic assembly,New car,SUV,0,Silver,Black,5,7,Petrol,1.5,Manual,FWD,10,Mitsubishi,Xpander,2022,0.555
485640,Domestic assembly,New car,SUV,0,White,Black,5,7,Diesel,2.4,Automatic,RFD,9.5,Toyota,Fortuner,2022,1.259
485669,Domestic assembly,New car,Crossover,0,White,Brown,5,8,Petrol,2,Manual,RFD,11,Toyota,Innova,2022,0.755
485675,Domestic assembly,New car,Crossover,0,Silver,Brown,5,8,Petrol,2,Manual,RFD,11,Toyota,Innova,2022,0.755
485696,Imported,New car,SUV,0,Black,Grey,5,7,Petrol,2.7,Automatic,4WD,12.2,Toyota,Prado,2022,2.588
515018,Imported,New car,Truck,0,White,Grey,2,2,Diesel,11.1,Manual,4WD,18.6,Hyundai,HD,2017,1.75
