,ad_id,brand,grade,car_name
0,17042,Suzuki,Super_Carry,Suzuki Super Carry Truck 1.0 MT 2022
1,53794,Toyota,Land_Cruiser,Toyota Land Cruiser 3.5 V6 2022
2,73954,Toyota,Innova,Toyota Innova G 2.0 AT 2023 car
3,74150,Toyota,Corolla_Cross,Toyota Corolla Cross 1.8G 2023
4,87573,Toyota,Innova,Toyota Innova G 2.0 AT 2022 car
5,97011,Suzuki,Super_Carry,Suzuki Super Carry Van Blind Van 2023
6,101726,Honda,CR-V,Honda CRV L 2023 car
7,135739,Toyota,Fortuner,Toyota Fortuner 2.7L 4x2 AT 2023
8,142495,Ford,Ranger,Ford Ranger XLS 2.0L 4x2 AT 2023
9,143308,Ford,Ranger,Ford Ranger XLT 2.0L 4x4 AT 2023
10,174951,Ford,Transit,Ford Transit Ambulance 2023
11,182003,Toyota,Innova,Toyota Innova E 2.0 MT 2022
12,182298,Toyota,Prado,Toyota Prado VX 2.7L 2022
13,183963,Toyota,Vios,Toyota Vios E CVT 2022
14,203337,Ford,Everest,Ford Everest Ambiente 2.0L 4x2 AT 2023
15,211394,Toyota,Yaris,Toyota Yaris G 1.5 AT 2022
16,304604,Toyota,Vios,Toyota Vios G 1.5 CVT 2022
17,449343,Mitsubishi,Outlander,Mitsubishi Outlander 2.0 CVT 2022
18,449349,Mitsubishi,Xpander,Mitsubishi Xpander 1.5 MT 2022
19,485640,Toyota,Fortuner,Toyota Fortuner 2.4G 4x2 AT Legender 2022
20,485669,Toyota,Innova,Toyota Innova E 2.0 MT 2022
21,485675,Toyota,Innova,Toyota Innova E 2.0 MT 2022
22,485696,Toyota,Prado,Toyota Prado VX 2.7L 2022
23,515018,Hyundai,HD,Hyundai HD 320 2017 car
24,531808,Volvo,XC90,Volvo XC90 Inscription B6 AWD 2023
25,560029,Isuzu,QKR,Isuzu QKR IZ65 2t5-3t5 BAT 2022
26,587030,Hyundai,HD,Hyundai HD Ben 15 Ton 2022
27,694755,Honda,City,Honda City RS 1.5 AT 2023 car
28,698859,Daewoo,Novus BEN 15 Ton,Daewoo Novus BEN 15 Ton 2022
29,747206,Toyota,Vios,Toyota Vios E 1.5 MT 2023
30,960975,Volvo,XC90,Volvo XC90 Inscription B6 AWD 2023
31,1116138,Mercedes-Benz,GLS480,Mercedes Benz Maybach GLS480 2022
32,1126086,Toyota,Innova,Toyota Innova Venturer 2.0 AT 2022
33,1168135,Toyota,Innova,Toyota Innova E 2.0 MT 2023
34,1185796,Suzuki,Super_Carry,Suzuki Super Carry Truck Batwing Box 2023
35,1210562,Daewoo,Novus Concrete Mixe,Daewoo Novus Concrete Mixer 2022
36,1247739,Volvo,V60,Volvo V60 Cross Country B5 AWD 2023
37,1280936,Hino,500_Series,Hino 500 Series Maximus 10 Ton 2022
38,1342584,Mercedes-Benz,GLS450,Mercedes Benz GLS 450 4Matic 2022
39,1342730,Mercedes-Benz,C200,Mercedes Benz C class C200 Avantgarde 2022
40,1343488,Mercedes-Benz,V250,Mercedes Benz V class V250 AMG 2022
41,1343600,Mercedes-Benz,GLC300,Mercedes Benz GLC 300 4Matic 2022
42,1343791,Mercedes-Benz,S450,Mercedes Benz Maybach S450 2022
43,1347208,Mercedes-Benz,S450,Mercedes Benz S class S450 Luxury 2022
44,1393396,Mazda,3,Mazda 3 1.5L Premium 2023
45,1393417,Mazda,3,Mazda 3 1.5L Deluxe 2023
46,1394005,Mazda,3,Mazda 3 1.5L Sport Premium 2023
47,1429536,Hyundai,Accent,Hyundai Accent 1.4 MT 2023
48,1429547,Hyundai,Santa_Fe,Hyundai SantaFe Premium 2.5L HTRAC 2023
49,1429562,Hyundai,Tucson,Hyundai Tucson 2.0 AT Standard 2022
50,1429579,Hyundai,Stargazer,Hyundai Stargazer Special 1.5 AT 2022
51,1429653,Hyundai,Creta,Hyundai Creta Standard 1.5 AT 2022
52,1464997,Hyundai,i10,Hyundai i10 1.2 AT 2023 car
