ad_id,origin,car_model,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,car_name,log_price,Brand_Ranking,Yeo_Johnson_mileage,age
17042,Domestic assembly,Truck,White,Grey,2,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Truck 1.0 MT 2022,19.33296345,19,2.312535423847214,2
53794,Imported,SUV,Black,Black,5,7,Petrol,3.4,Automatic,AWD,12.8,Toyota Land Cruiser 3.5 V6 2022,22.17861973,3,2.5494451709255714,2
73954,Domestic assembly,Crossover,Silver,Brown,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova G 2.0 AT 2023 car,20.6010982,3,2.3978952727983707,1
74150,Imported,SUV,White,Black,5,5,Petrol,1.8,Automatic,FWD,6.5,Toyota Corolla Cross 1.8G 2023,20.44090293,3,1.8718021769015916,1
87573,Domestic assembly,Crossover,Silver,Grey,5,8,Petrol,2.0,Automatic,RFD,11.0,Toyota Innova G 2.0 AT 2022 car,20.54891245,3,2.3978952727983707,2
97011,Domestic assembly,Van/Minivan,White,Grey,5,2,Petrol,1.0,Manual,RFD,10.1,Suzuki Super Carry Van Blind Van 2023,19.51595413,19,2.312535423847214,1
101726,Domestic assembly,SUV,White,Black,5,7,Petrol,1.5,Automatic,FWD,7.3,Honda CRV L 2023 car,20.66986506,7,1.9878743481543453,1
135739,Imported,SUV,Copper,Black,5,7,Petrol,2.7,Automatic,RFD,9.5,Toyota Fortuner 2.7L 4x2 AT 2023,20.87598692,3,2.2512917986064958,1
142495,Domestic assembly,Pickup,Grey,Black,4,5,Diesel,2.2,Automatic,RFD,11.7,Ford Ranger XLS 2.0L 4x2 AT 2023,20.37654122,8,2.4595888418037104,1
143308,Domestic assembly,Pickup,Black,Black,4,5,Diesel,2.2,Automatic,4WD,11.7,Ford Ranger XLT 2.0L 4x4 AT 2023,20.57708333,8,2.4595888418037104,1
174951,Domestic assembly,Van/Minivan,White,Cream,4,7,Diesel,2.2,Manual,RFD,16.9,Ford Transit Ambulance 2023,20.66139043,8,2.827313621929028,1
182003,Domestic assembly,Crossover,Silver,Grey,5,8,Petrol,2.0,Manual,RFD,11.0,Toyota Innova E 2.0 MT 2022,20.3877931,3,2.3978952727983707,2
182298,Imported,SUV,White,Cream,5,5,Petrol,2.7,Automatic,4WD,12.2,Toyota Prado VX 2.7L 2022,21.68948894,3,2.501435951739211,2
183963,Domestic assembly,Sedan,White,Yellow,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota Vios E CVT 2022,20.17681304,3,2.091864061678393,2
203337,Imported,SUV,White,Black,5,7,Diesel,2.0,Automatic,RFD,10.8,Ford Everest Ambiente 2.0L 4x2 AT 2023,20.81766651,8,2.379546134130174,1
211394,Imported,Hatchback,Red,Cream,5,5,Petrol,1.5,Automatic,FWD,6.0,Toyota Yaris G 1.5 AT 2022,20.30775039,3,1.791759469228055,2
304604,Domestic assembly,Sedan,Black,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota Vios G 1.5 CVT 2022,20.19901719,3,2.091864061678393,2
