ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
37852,Domestic assembly,Used car,SUV,300,Red,Different color,5,5,Petrol,2,Automatic,RFD,4.2,Mercedes-Benz,GLC200,2021,Mercedes Benz GLC 200 2021,"1 Billion 579 Million
",https://bonbanh.com/xe-mercedes_benz-glc-200-2021-3785218,1.579
4024126,Domestic assembly,Used car,SUV,79,Black,Black,5,5,Petrol,2,Automatic,AWD,4.2,Mercedes-Benz,GLC300,2021,Mercedes Benz GLC 300 4Matic 2021,"2 Billion 100 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-4024126,2.1
4024530,Domestic assembly,Used car,SUV,50,White,Black,5,5,Petrol,2,Automatic,AWD,4.2,Mercedes-Benz,GLC300,2021,Mercedes Benz GLC 300 4Matic 2021,"2 Billion 39 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-4024530,2.039
4027203,Domestic assembly,Used car,Sedan,50,White,Brown,4,5,Petrol,1.5,Automatic,RFD,9,Mercedes-Benz,E180,2021,Mercedes Benz E class E180 2021,"1 Billion 839 Million
",https://bonbanh.com/xe-mercedes_benz-e_class-e180-2021-4027203,1.839
4381144,Imported,Used car,SUV,217,White,Black,5,7,Petrol,3,Automatic,AWD,11.8,Ford,Explorer,2021,Ford Explorer Platinum 3.0L EcoBoost 2021,"4 Billion 180 Million
",https://bonbanh.com/xe-ford-explorer-platinum-3.0l-ecoboost-2021-4381144,4.18
4433103,Imported,Used car,Sedan,70,Red,Brown,4,5,Petrol,2.5,Automatic,FWD,7.2,Lexus,ES250,2021,Lexus ES 250 2021,"2 Billion 490 Million
",https://bonbanh.com/xe-lexus-es-250-2021-4433103,2.49
4440189,Imported,Used car,SUV,158,Green,Yellow,5,5,Petrol,2,Automatic,AWD,13.8,Lexus,RX300,2022,Lexus RX 300 2022,"3 Billion 250 Million
",https://bonbanh.com/xe-lexus-rx-300-2022-4440189,3.25
4451500,Imported,Used car,Sedan,10,White,Black,4,5,Hybrid,2.5,Automatic,FWD,6.8,Toyota,Camry,2022,Toyota Camry 2.5HV 2022,"1 Billion 468 Million
",https://bonbanh.com/xe-toyota-camry-2.5hv-2022-4451500,1.468
4518763,Imported,Used car,SUV,10,Yellow,Cream,5,5,Petrol,3.5,Automatic,AWD,12.4,Lexus,RX350,2022,Lexus RX 350 2022,"3 Billion 850 Million
",https://bonbanh.com/xe-lexus-rx-350-2022-4518763,3.85
4520966,Imported,Used car,SUV,0,White,Black,5,7,Petrol,2.7,Automatic,4WD,13.8,Toyota,Prado,2014,Toyota Prado TXL 2.7L 2014,"1 Billion 200 Million
",https://bonbanh.com/xe-toyota-prado-txl-2.7l-2014-4520966,1.2
4521860,Domestic assembly,Used car,Sedan,0,Black,Black,4,5,Petrol,1.6,Manual,FWD,7.5,Chevrolet,Cruze,2012,Chevrolet Cruze LS 1.6 MT 2012,"245 Million
",https://bonbanh.com/xe-chevrolet-cruze-ls-1.6-mt-2012-4521860,0.245
4522247,Domestic assembly,Used car,Crossover,135,Silver,Cream,5,8,Petrol,2,Manual,RFD,13.2,Toyota,Innova,2009,Toyota Innova G 2009 car,"290 Million
",https://bonbanh.com/xe-toyota-innova-g-2009-4522247,0.29
4524090,Imported,Used car,Sedan,0,White,Cream,4,5,Petrol,2,Automatic,RFD,13,BMW,7_Series,2015,BMW 7 Series 730Li 2015,"1 Billion 640 Million
",https://bonbanh.com/xe-bmw-7_series-730li-2015-4524090,1.64
4529242,Domestic assembly,Used car,SUV,15,Black,Cream,5,5,Petrol,2,Automatic,RFD,9.4,Mercedes-Benz,GLC200,2022,Mercedes Benz GLC 200 2022,"1 Billion 599 Million
",https://bonbanh.com/xe-mercedes_benz-glc-200-2022-4529242,1.599
4530598,Imported,Used car,SUV,1,Black,Black,5,7,Petrol,4.6,Automatic,AWD,13.8,Lexus,GX460,2016,Lexus GX 460 2016,"2 Billion 950 Million
",https://bonbanh.com/xe-lexus-gx-460-2016-4530598,2.95
4531729,Imported,Used car,Van/Minivan,1,White,Different color,5,2,Diesel,2.9,Automatic,RFD,8.3,Ssangyong,Korando,2004,Ssangyong Korando TX-5 4x2 AT 2004,"179 Million
",https://bonbanh.com/xe-ssangyong-korando-tx-5-4x2-at-2004-4531729,0.179
4532620,Domestic assembly,Used car,SUV,0,Brown,Black,5,5,Petrol,2.5,Automatic,FWD,9,Mazda,CX-5,2016,Mazda CX5 2.5 AT 2016,"599 Million
",https://bonbanh.com/xe-mazda-cx5-2.5-at-2016-4532620,0.599
4533814,Domestic assembly,Used car,SUV,0,Brown,Black,5,5,Petrol,2.5,Automatic,FWD,9.3,Mazda,CX-5,2017,Mazda CX5 2.5 AT 2WD 2017,"599 Million
",https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-4533814,0.599
4536347,Domestic assembly,Used car,Sedan,50,White,Black,4,5,Petrol,2,Automatic,RFD,8.7,Mercedes-Benz,E300,2022,Mercedes Benz E class E300 AMG 2022,"2 Billion 800 Million
",https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-4536347,2.8
4536928,Domestic assembly,Used car,SUV,0,White,Cream,5,5,Petrol,2,Automatic,AWD,9.4,Mercedes-Benz,GLC300,2020,Mercedes Benz GLC 300 4Matic 2020,"2 Billion 380 Million
",https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-4536928,2.38
4537165,Imported,Used car,SUV,0,Black,Brown,5,5,Petrol,2,Automatic,AWD,13.8,Lexus,RX300,2021,Lexus RX 300 2021,"3 Billion 400 Million
",https://bonbanh.com/xe-lexus-rx-300-2021-4537165,3.4
4537170,Domestic assembly,Used car,Sedan,0,White,Grey,4,5,Petrol,1.6,Manual,FWD,9.7,Daewoo,Nubira,2001,Daewoo Nubira II 1.6 2001,"89 Million
",https://bonbanh.com/xe-daewoo-nubira-ii-1.6-2001-4537170,0.089
4537214,Imported,Used car,Pickup,0,Black,Black,4,5,Diesel,2,Automatic,RFD,11.6,Ford,Ranger,2019,Ford Ranger Wildtrak 2.0L 4x2 AT 2019,"625 Million
",https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x2-at-2019-4537214,0.625
4538453,Imported,Used car,Pickup,0,Black,Black,4,5,Petrol,3.5,Automatic,4WD,10.7,Ford,F150,2015,Ford F150 Platinum 2015,"3 Billion 680 Million
",https://bonbanh.com/xe-ford-f150-platinum-2015-4538453,3.68
4540025,Domestic assembly,Used car,Sedan,0,Silver,Black,4,5,Petrol,3,Automatic,RFD,11.2,Mercedes-Benz,S400L,2014,Mercedes Benz S class S400L 2014,"1 Billion 880 Million
",https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2014-4540025,1.88
4542023,Imported,Used car,SUV,0,Black,Black,5,8,Petrol,4.6,Automatic,AWD,15.8,Toyota,Land_Cruiser,2014,Toyota Land Cruiser VX 4.6 V8 2014,"2 Billion 150 Million
",https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-4542023,2.15
4542295,Domestic assembly,Used car,SUV,0,Black,Cream,5,8,Petrol,2.7,Automatic,RFD,11.2,Toyota,Fortuner,2014,Toyota Fortuner 2.7V 4x2 AT 2014,"448 Million
",https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2014-4542295,0.448
4542297,Domestic assembly,Used car,SUV,0,White,Cream,5,8,Petrol,2.7,Automatic,RFD,11.5,Toyota,Fortuner,2015,Toyota Fortuner TRD Sportivo 4x2 AT 2015,"495 Million
",https://bonbanh.com/xe-toyota-fortuner-trd-sportivo-4x2-at-2015-4542297,0.495
4542607,Imported,Used car,Sedan,0,Black,Brown,4,5,Petrol,3,Automatic,RFD,13,BMW,7_Series,2015,BMW 7 Series 740Li 2015,"2 Billion 580 Million
",https://bonbanh.com/xe-bmw-7_series-740li-2015-4542607,2.58
4543077,Domestic assembly,Used car,Sedan,0,Green,Black,4,5,Petrol,2,Automatic,RFD,6.6,Mercedes-Benz,E250,2017,Mercedes Benz E class E250 2017,"1 Billion 390 Million
",https://bonbanh.com/xe-mercedes_benz-e_class-e250-2017-4543077,1.39
4543545,Imported,Used car,Hatchback,0,Silver,Brown,5,5,Petrol,1,Manual,FWD,6,Hyundai,i10,2015,Hyundai i10 Grand 1.0 MT 2015,"235 Million
",https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-2015-4543545,0.235
4545151,Domestic assembly,Used car,SUV,150,Silver,Brown,5,7,Diesel,2.5,Automatic,RFD,10.6,Ford,Everest,2010,Ford Everest 2.5L 4x2 AT 2010,"355 Million
",https://bonbanh.com/xe-ford-everest-2.5l-4x2-at-2010-4545151,0.355
4545272,Imported,Used car,Sedan,0,Black,Cream,4,5,Petrol,2.4,Automatic,FWD,10,Honda,Accord,2008,Honda Accord 2.4 AT 2008,"435 Million
",https://bonbanh.com/xe-honda-accord-2.4-at-2008-4545272,0.435
